,comm_date,author,author_id,likes,comment,video_id
28,2024-12-07T02:58:39Z,@AgunWidi-w4g,UCGruuObklpeHfLUIzDnNZ_g,0,"Gus miftah  klu ada pengajian lagi aku mau jual  es degan muter muter  di daerah  situ... 
 Tolong aku di ejek dan direndah rendahkan  .. 
Biyar bisa berangkat umroh.bayak uang kan bayak orang iba.. 

 Jual minuman  membawa  berkah.",jFyQPbcXSGQ
29,2024-12-07T02:54:23Z,@yatunyatun8876,UCLpXOC8VzPJf8Ov7yYkiOjw,0,Kenapa harus menangis Gus...,jFyQPbcXSGQ
30,2024-12-07T02:48:21Z,@suparbm6025,UC07AC3beqcxBuuGErhU-W_A,0,Yang jelas masyarakat banyak yg nuntut mundur,jFyQPbcXSGQ
31,2024-12-07T02:47:48Z,@ww.MrTad.com1112,UC90tYTooW1BHBldNmshLY0Q,0,Panjang ranbutnya.. kaya macam teror penampilan nya...,jFyQPbcXSGQ
32,2024-12-07T02:46:58Z,@godv112,UCWdC8AMfpZ0JT7J10_YjQZA,0,"Mulut mu harimau mu"" ini lah pepatah yg pas untuk mu: qus miftah..😢😢",jFyQPbcXSGQ
33,2024-12-07T02:44:03Z,@hijrah69,UCqR715L_TV2neSCnKeWc3qw,0,Semoga ke depannya gus Miftah bisa menjaga sikapnya.. agar tidak menjadi contoh buruk bugi umat. Seperti contoh kelakuan gus fiftah terhadap istrinya. Meskipun itu hy guyonan kata Miftah.namun tak patut itu di lakukan di depan umum. Alangkah malunya istri gus Miftah keliatan dr gestur tubuhnya ketika itu.,jFyQPbcXSGQ
34,2024-12-07T02:40:37Z,@godv112,UCWdC8AMfpZ0JT7J10_YjQZA,0,"Yah...lebih baik mundur"" dari pd merem bet kemana mana..",jFyQPbcXSGQ
35,2024-12-07T02:34:38Z,@3solidtv310,UCnV5aLIxFgINtcqacm2vqYg,0,Begitulah klo dakwah nya campur ketoprak .,jFyQPbcXSGQ
36,2024-12-07T02:32:10Z,@Bilqis-c5v,UC4AgXGXeCBB5BpV_v50r8OA,0,"Menurut aku netizen terlalu cepat menilai d mengambil keputusan.jgn menghujat.klu begitu suruh habib"" itu kembali kenegaranya.semua org khilaf seharusnya kita ambil hikmahnya.",jFyQPbcXSGQ
37,2024-12-07T02:28:08Z,@bagaszella2004,UCrKL0lU9ZAgOvY0Runrbl1A,0,"Maaf sebenarnya banyak kebaikan dr gus,manusia tak ada yg sempurna. Ini merupakan teguran dari Alloh agar gus lebih berhati2 dlm ucapan, maupun prilaku, kembali ke adat ketimuran.",jFyQPbcXSGQ
